sample,WBC1,WBC2,WBC3,WBC4,WBC5,WBC6,RBC1,RBC2,RBC3,RBC4,RBC5,RBC6,Platelets1,Platelets2,Platelets3,Platelets4,Platelets5,Platelets6
hsa-miR-34c-5p,5.08,6.47,6.43,5.86,6.82,5.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-1227,0.00,0.00,0.00,0.00,0.00,0.00,11.07,11.40,10.94,11.51,10.98,11.20,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-1236,0.00,0.00,0.00,0.00,0.00,0.00,9.37,8.19,8.30,9.06,8.43,8.60,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-1238,0.00,0.00,0.00,0.00,0.00,0.00,7.30,7.66,7.87,7.61,7.41,8.06,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-1254,0.00,0.00,0.00,0.00,0.00,0.00,9.70,10.20,10.26,10.56,10.47,10.08,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-129-3p,0.00,0.00,0.00,0.00,0.00,0.00,8.03,7.37,7.12,7.69,7.36,7.15,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-147,0.00,0.00,0.00,0.00,0.00,0.00,5.96,7.37,5.30,6.86,6.25,7.18,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-183*,0.00,0.00,0.00,0.00,0.00,0.00,7.14,8.22,7.91,8.07,7.64,8.17,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-18b*,0.00,0.00,0.00,0.00,0.00,0.00,10.86,7.75,10.78,11.49,10.77,11.53,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-19b-2*,0.00,0.00,0.00,0.00,0.00,0.00,6.72,6.78,6.63,6.86,6.71,6.26,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-202,0.00,0.00,0.00,0.00,0.00,0.00,7.50,8.39,7.80,7.27,7.71,8.73,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-202*,0.00,0.00,0.00,0.00,0.00,0.00,5.76,9.41,7.18,6.54,8.92,9.10,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-214,0.00,0.00,0.00,0.00,0.00,0.00,6.40,7.25,7.42,7.68,6.52,5.10,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-219-1-3p,0.00,0.00,0.00,0.00,0.00,0.00,5.30,5.81,6.98,7.20,6.42,7.11,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-422a,0.00,0.00,0.00,0.00,0.00,0.00,8.38,8.62,5.66,8.02,7.69,6.94,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-449b,0.00,0.00,0.00,0.00,0.00,0.00,7.30,8.16,8.20,7.41,9.48,8.73,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-511,0.00,0.00,0.00,0.00,0.00,0.00,6.06,6.76,5.22,6.70,5.85,6.17,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-514,0.00,0.00,0.00,0.00,0.00,0.00,5.34,5.87,5.68,5.31,5.61,6.15,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-517c,0.00,0.00,0.00,0.00,0.00,0.00,9.74,7.28,6.07,6.34,5.61,6.24,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-520b,0.00,0.00,0.00,0.00,0.00,0.00,9.89,7.12,5.29,6.40,5.20,6.25,0.00,0.00,0.00,0.00,0.00,0.00
hsa-miR-548i,0.00,0.00,0.00,0.00,0.00,0.00,6.87,8.39,8.31,8.00,8.48,8.38,0.00,0.00,0.00,0.00,0.00,0.00
